Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Brandon Biro,25,BUF,F,5,2,0,2,0,0,2,0,0,0,0,0,0,2,100.0,54:13,10:51,
Sergei Bobrovsky,35,FLA,G,58,0,2,2,0,4,0,0,0,0,0,2,0,0,,3414:14,58:52,"ASG,ASnhl-3,Vezina-3"
Philip Broberg,22,EDM,D,12,0,2,2,-3,0,0,0,0,0,1,1,0,6,0.0,139:25,11:37,
Jake Christiansen,24,CBJ,D,12,0,2,2,-5,2,0,0,0,0,2,0,0,7,0.0,158:38,13:13,
Maxwell Crozier,23,TBL,D,13,0,2,2,-2,7,0,0,0,0,2,0,0,13,0.0,168:09,12:56,
Kirby Dach,23,MTL,C,2,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,26:02,13:01,
Adam Edstrom,23,NYR,C,11,2,0,2,2,2,2,0,0,0,0,0,0,7,28.6,92:31,8:25,
Simon Edvinsson,20,DET,D,16,1,1,2,0,4,1,0,0,0,1,0,0,13,7.7,292:05,18:15,
Adam Erne,28,EDM,LW,24,1,1,2,0,9,1,0,0,0,1,0,0,13,7.7,187:39,7:49,
Alexandar Georgiev,27,COL,G,63,0,2,2,0,4,0,0,0,0,2,0,0,0,,3637:57,57:45,"ASG,ASnhl-15"
Collin Graf,21,SJS,F,7,0,2,2,-4,0,0,0,0,0,1,1,0,7,0.0,116:10,16:36,
Benoit-Olivier Groulx,23,ANA,C,45,0,2,2,-9,22,0,0,0,0,2,0,0,32,0.0,548:29,12:11,
Denis Gurianov,26,2TM,RW,18,1,1,2,4,0,1,0,0,0,1,0,0,26,3.8,219:49,12:13,
Denis Gurianov,26,NSH,RW,14,1,1,2,4,0,1,0,0,0,1,0,0,22,4.5,176:10,12:35,
Denis Gurianov,26,PHI,RW,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,43:39,10:55,
Daniil Gushchin,21,SJS,LW,4,1,1,2,-2,0,1,0,0,0,1,0,0,4,25.0,58:44,14:41,
Santeri Hatakka,23,NJD,D,12,0,2,2,5,4,0,0,0,0,2,0,0,12,0.0,175:45,14:39,
Matthew Highmore,27,OTT,LW,7,0,2,2,0,0,0,0,0,0,2,0,0,1,0.0,53:58,7:43,
Lane Hutson,19,MTL,D,2,0,2,2,-2,0,0,0,0,0,2,0,0,3,0.0,45:26,22:43,
Cole Koepke,25,TBL,LW,9,0,2,2,0,0,0,0,0,0,2,0,0,9,0.0,60:19,6:42,
Milan Lucic,35,BOS,LW,4,0,2,2,-1,2,0,0,0,0,2,0,0,1,0.0,47:53,11:58,
Kurtis MacDermid,29,2TM,D,45,2,1,3,4,73,2,0,0,1,1,0,0,16,12.5,217:29,4:50,
Kurtis MacDermid,29,COL,D,29,2,0,2,3,23,2,0,0,1,0,0,0,12,16.7,147:38,5:05,
Kurtis MacDermid,29,NJD,D,16,0,1,1,1,50,0,0,0,0,1,0,0,4,0.0,69:51,4:22,
Jaycob Megna,31,CHI,D,44,0,2,2,-15,22,0,0,0,0,2,0,0,28,0.0,771:01,17:31,
Carson Meyer,26,CBJ,RW,14,1,1,2,-2,2,1,0,0,0,1,0,0,10,10.0,127:42,9:07,
Ben Meyers,25,2TM,F,23,1,2,3,-4,6,1,0,0,0,2,0,0,12,8.3,232:31,10:07,
Ben Meyers,25,ANA,F,14,0,2,2,-2,6,0,0,0,0,2,0,0,5,0.0,146:28,10:28,
Ben Meyers,25,COL,F,9,1,0,1,-2,0,1,0,0,0,0,0,0,7,14.3,86:03,9:34,
Ian Mitchell,25,BOS,D,13,0,2,2,6,10,0,0,0,0,2,0,0,11,0.0,199:00,15:18,
Sam Montembeault,27,MTL,G,41,0,2,2,0,0,0,0,0,0,1,1,0,0,,2428:46,59:14,
Jordan Oesterle,31,CGY,D,22,0,2,2,-6,4,0,0,0,0,2,0,0,18,0.0,297:23,13:31,
Liam Ohgren,20,MIN,LW,4,1,1,2,0,0,1,0,0,1,1,0,0,8,12.5,58:03,14:31,
Nic Petan,28,MIN,C,6,0,2,2,-2,2,0,0,0,0,1,1,0,11,0.0,65:00,10:50,
Vasily Podkolzin,22,VAN,RW,19,0,2,2,-4,8,0,0,0,0,2,0,0,20,0.0,205:23,10:49,
Vasiliy Ponomarev,21,CAR,C,2,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,19:21,9:41,
Cayden Primeau,24,MTL,G,23,0,2,2,0,2,0,0,0,0,1,1,0,0,,1324:50,57:36,
Mikael Pyyhtia,22,CBJ,LW,17,0,2,2,-5,0,0,0,0,0,2,0,0,22,0.0,223:37,13:09,
Matt Rempe,21,NYR,C,17,1,1,2,1,71,1,0,0,1,1,0,0,12,8.3,95:38,5:38,
Lukáš Rousek,24,BUF,RW,15,0,2,2,-1,0,0,0,0,0,2,0,0,4,0.0,159:25,10:38,
Juuse Saros,28,NSH,G,64,0,2,2,0,2,0,0,0,0,1,1,0,0,,3624:38,56:38,"ASnhl-7,Vezina-5"
Akira Schmid,23,NJD,G,19,0,2,2,0,2,0,0,0,0,1,1,0,0,,914:09,48:07,
Jiri Smejkal,27,OTT,F,20,1,1,2,-6,4,1,0,0,0,1,0,0,10,10.0,189:34,9:29,
Ilya Sorokin,28,NYI,G,56,0,2,2,0,0,0,0,0,0,1,1,0,0,,3325:59,59:24,Vezina-8
Logan Stanley,25,WPG,D,25,1,1,2,4,36,1,0,0,0,1,0,0,29,3.4,344:11,13:46,
Anthony Stolarz,30,FLA,G,27,0,2,2,0,2,0,0,0,0,1,1,0,1,0.0,1506:27,55:48,
Tyler Tucker,23,STL,D,26,1,1,2,1,42,1,0,0,0,1,0,0,17,5.9,323:43,12:27,
Riley Tufte,25,COL,LW,5,1,1,2,-2,2,1,0,0,1,1,0,0,7,14.3,55:36,11:07,
Andrei Vasilevskiy,29,TBL,G,52,0,2,2,0,2,0,0,0,0,2,0,0,0,,3062:52,58:54,ASnhl-10
Karel Vejmelka,27,ARI,G,38,0,2,2,0,2,0,0,0,0,1,0,1,0,,2040:08,53:41,
Chris Wagner,32,COL,C,13,1,1,2,3,9,1,0,0,0,1,0,0,16,6.3,96:54,7:27,
Jake Allen,33,2TM,G,34,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,1986:53,58:26,
Jake Allen,33,MTL,G,21,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,1216:20,57:55,
Jake Allen,33,NJD,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,770:33,59:16,
Frederik Andersen,34,CAR,G,16,0,1,1,0,0,0,0,0,0,1,0,0,0,,912:53,57:03,
Nicklas Bäckström,36,WSH,C,8,0,1,1,-3,2,0,0,0,0,1,0,0,12,0.0,116:28,14:34,
Nick Blankenburg,25,CBJ,D,12,1,0,1,1,4,1,0,0,0,0,0,0,10,10.0,194:35,16:13,
Patrick Brown,31,BOS,C,11,0,1,1,-3,2,0,0,0,0,1,0,0,7,0.0,97:05,8:50,
Nikita Chibrikov,20,WPG,RW,1,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,11:03,11:03,
Kale Clague,25,BUF,D,3,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,36:49,12:16,
Sam Colangelo,22,ANA,RW,3,1,0,1,0,2,1,0,0,0,0,0,0,7,14.3,37:40,12:33,
Max Comtois,25,CAR,LW,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,13:04,13:04,
Lukas Cormier,21,VEG,D,2,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,34:34,17:17,
Logan Couture,34,SJS,C,6,0,1,1,0,4,0,0,0,0,1,0,0,7,0.0,112:31,18:45,
Austin Czarnik,31,DET,C,34,0,1,1,-3,12,0,0,0,0,1,0,0,24,0.0,286:55,8:26,
Nico Daws,23,NJD,G,21,0,1,1,0,0,0,0,0,0,1,0,0,0,,1144:03,54:29,
Luca Del Bel Belluz,20,CBJ,C,1,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,9:35,9:35,
Thatcher Demko,28,VAN,G,51,0,1,1,0,0,0,0,0,0,0,0,1,0,,3015:53,59:08,"ASG,ASnhl-2,Byng-71,Vezina-2"
Casey DeSmith,32,VAN,G,29,0,1,1,0,0,0,0,0,0,1,0,0,0,,1663:29,57:22,
Justin Dowling,33,NJD,C,2,1,0,1,-2,0,1,0,0,0,0,0,0,3,33.3,21:03,10:32,
Samuel Fagemo,23,2TM,LW,8,1,0,1,-1,0,0,1,0,0,0,0,0,13,7.7,73:29,9:11,
Samuel Fagemo,23,NSH,LW,4,1,0,1,0,0,0,1,0,0,0,0,0,7,14.3,39:17,9:49,
Samuel Fagemo,23,LAK,LW,4,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,34:12,8:33,
Marc-André Fleury,39,MIN,G,40,0,1,1,0,4,0,0,0,0,1,0,0,0,,2232:40,55:49,Byng-9
Callan Foote,25,NJD,D,4,0,1,1,3,16,0,0,0,0,1,0,0,0,,59:04,14:46,
Nolan Foote,23,NJD,LW,4,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,40:24,10:06,
Anton Forsberg,31,OTT,G,30,0,1,1,0,2,0,0,0,0,1,0,0,0,,1569:45,52:20,
Jean-Luc Foudy,21,COL,C,4,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,25:45,6:26,
Mark Friedman,28,VAN,D,23,0,1,1,4,21,0,0,0,0,1,0,0,16,0.0,281:21,12:14,
Byron Froese,32,VEG,C,16,0,1,1,-2,4,0,0,0,0,1,0,0,17,0.0,170:42,10:40,
Cutter Gauthier,20,ANA,LW,1,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,15:24,15:24,
Brandon Gignac,26,MTL,C,7,1,0,1,-3,0,1,0,0,0,0,0,0,7,14.3,81:31,11:39,
Adam Ginning,24,PHI,D,9,1,0,1,0,0,1,0,0,0,0,0,0,6,16.7,127:21,14:09,
Philipp Grubauer,32,SEA,G,36,0,1,1,0,4,0,0,0,0,0,0,1,0,,1996:36,55:28,
Jonathan Gruden,23,PIT,C,13,1,0,1,-2,5,1,0,0,0,0,0,0,9,11.1,112:45,8:40,
Filip Gustavsson,25,MIN,G,45,0,1,1,0,0,0,0,0,0,1,0,0,0,,2526:33,56:09,
Hardy Haman Aktell,25,WSH,D,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,63:47,10:38,
Carter Hart,25,PHI,G,26,0,1,1,0,0,0,0,0,0,1,0,0,0,,1455:11,55:58,
Adin Hill,27,VEG,G,35,0,1,1,0,0,0,0,0,0,1,0,0,0,,1968:49,56:15,
Joel Hofer,23,STL,G,30,0,1,1,0,4,0,0,0,0,1,0,0,1,0.0,1628:39,54:17,"AR-2,Calder-11"
Daemon Hunt,21,MIN,D,12,0,1,1,-1,0,0,0,0,0,1,0,0,7,0.0,138:03,11:30,
Ville Husso,28,DET,G,19,0,1,1,0,0,0,0,0,0,1,0,0,0,,1012:55,53:19,
Ruslan Iskhakov,23,NYI,C,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,14:11,14:11,
Tristan Jarry,28,PIT,G,51,1,0,1,0,4,1,0,0,0,0,0,0,3,33.3,2740:38,53:44,
Roby Jarventie,21,OTT,LW,7,0,1,1,-5,4,0,0,0,0,1,0,0,5,0.0,52:39,7:31,
Jan Jeník,23,ARI,RW,5,0,1,1,-1,5,0,0,0,0,1,0,0,2,0.0,41:53,8:23,
Lucas Johansen,26,WSH,D,6,0,1,1,1,4,0,0,0,0,1,0,0,4,0.0,85:36,14:16,
Kaapo Kähkönen,27,2TM,G,37,0,1,1,0,4,0,0,0,0,0,1,0,0,,1914:13,51:44,
Kaapo Kähkönen,27,SJS,G,31,0,1,1,0,4,0,0,0,0,0,1,0,0,,1651:26,53:16,
Kaapo Kähkönen,27,NJD,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,262:47,43:48,
Miloš Kelemen,24,ARI,F,10,0,1,1,-2,0,0,0,0,0,1,0,0,5,0.0,76:49,7:41,
Adam Klapka,23,CGY,F,6,1,0,1,-1,19,1,0,0,0,0,0,0,4,25.0,40:34,6:46,
Tyler Kleven,22,OTT,D,9,0,1,1,-1,2,0,0,0,0,1,0,0,7,0.0,113:51,12:39,
Nikolai Knyzhov,25,SJS,D,10,0,1,1,-6,6,0,0,0,0,1,0,0,6,0.0,176:25,17:39,
Joonas Korpisalo,29,OTT,G,55,0,1,1,0,0,0,0,0,0,1,0,0,0,,3080:28,56:01,
Darcy Kuemper,33,WSH,G,33,0,1,1,0,0,0,0,0,0,1,0,0,0,,1866:32,56:34,
Rasmus Kupari,23,WPG,C,28,0,1,1,-5,4,0,0,0,0,1,0,0,28,0.0,255:57,9:08,
Maxime Lajoie,26,TOR,D,7,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0,89:01,12:43,
Brad Lambert,20,WPG,C,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,13:51,13:51,
Kevin Lankinen,28,NSH,G,24,0,1,1,0,0,0,0,0,0,0,1,0,0,,1191:25,49:39,
John Leonard,25,ARI,LW,6,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,41:12,6:52,
William Lockwood,25,FLA,RW,26,0,1,1,2,16,0,0,0,0,1,0,0,19,0.0,213:10,8:12,
Ukko-Pekka Luukkonen,24,BUF,G,54,0,1,1,0,8,0,0,0,0,1,0,0,0,,3081:14,57:04,ASnhl-12
Alex Lyon,31,DET,G,44,0,1,1,0,2,0,0,0,0,0,1,0,0,,2498:51,56:48,
Mackenzie MacEachern,29,STL,LW,8,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,62:57,7:52,
Logan Mailloux,20,MTL,D,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21:14,21:14,
Dylan McIlrath,31,WSH,D,3,0,1,1,1,5,0,0,0,0,1,0,0,1,0.0,30:54,10:18,
Marc McLaughlin,24,BOS,F,1,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,12:39,12:39,
Waltteri Merela,25,TBL,F,19,1,0,1,2,4,1,0,0,0,0,0,0,17,5.9,186:30,9:49,
Jacob Moverare,25,LAK,D,24,1,0,1,0,6,1,0,0,0,0,0,0,11,9.1,250:43,10:27,
Shakir Mukhamadullin,22,SJS,D,3,0,1,1,0,4,0,0,0,0,0,1,0,5,0.0,63:28,21:09,
Frank Nazar,20,CHI,C,3,1,0,1,-4,0,1,0,0,0,0,0,0,2,50.0,48:26,16:09,
Nikita Nesterenko,22,ANA,C,3,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,34:34,11:31,
Jason Polin,24,COL,F,7,1,0,1,1,2,1,0,0,0,0,0,0,6,16.7,51:58,7:25,
Jonathan Quick,38,NYR,G,27,0,1,1,0,8,0,0,0,0,1,0,0,0,,1582:44,58:37,
Aku Raty,22,ARI,RW,1,0,1,1,0,0,0,0,0,0,1,0,0,0,,11:45,11:45,
Calle Rosén,29,STL,D,6,0,1,1,-1,2,0,0,0,0,1,0,0,5,0.0,75:59,12:40,
Ilya Samsonov,26,TOR,G,40,0,1,1,0,0,0,0,0,0,1,0,0,0,,2300:58,57:31,
Ryan Shea,26,PIT,D,31,1,0,1,1,6,1,0,0,0,0,0,0,17,5.9,391:22,12:37,
Igor Shesterkin,28,NYR,G,55,0,1,1,0,6,0,0,0,0,1,0,0,1,0.0,3277:06,59:35,"ASG,ASnhl-4,Vezina-4"
Jack St. Ivany,24,PIT,D,14,0,1,1,0,2,0,0,0,0,1,0,0,11,0.0,191:50,13:42,
Oskar Steen,25,BOS,C,34,1,0,1,-2,4,1,0,0,0,0,0,0,24,4.2,308:23,9:04,
Jack Studnicka,24,2TM,C,22,1,0,1,-12,6,1,0,0,0,0,0,0,20,5.0,251:56,11:27,
Jack Studnicka,24,VAN,C,5,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,50:57,10:11,
Jack Studnicka,24,SJS,C,17,0,0,0,-14,6,0,0,0,0,0,0,0,16,0.0,200:59,11:49,
Jeremy Swayman,25,BOS,G,44,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,2565:51,58:19,"ASG,ASnhl-6,Byng-44,Vezina-7"
Linus Ullmark,30,BOS,G,40,0,1,1,0,2,0,0,0,0,0,0,1,0,,2400:08,60:00,"ASnhl-12,Byng-49,Vezina-6"
Vítek Vaněček,28,NJD,G,32,0,1,1,0,0,0,0,0,0,1,0,0,0,,1791:49,55:60,
Egor Afanasyev,23,NSH,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,25:59,12:60,
Emil Andrae,21,PHI,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,,52:00,13:00,
Tyler Angle,23,CBJ,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16:40,8:20,
Justus Annunen,23,COL,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,801:05,57:13,
Kenneth Appleby,28,NYI,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,20:00,20:00,
Yaroslav Askarov,21,NSH,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,81:40,40:50,
Zach Aston-Reese,29,DET,C,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15:28,5:09,
Arshdeep Bains,23,VAN,F,8,0,0,0,-5,6,0,0,0,0,0,0,0,4,0.0,94:27,11:48,
Tobias Björnfot,22,3TM,D,4,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,55:14,13:49,
Tobias Björnfot,22,FLA,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17:01,17:01,
Tobias Björnfot,22,LAK,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:12,10:12,
Tobias Björnfot,22,VEG,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,,28:01,14:01,
Mackenzie Blackwood,27,SJS,G,44,0,0,0,0,2,0,0,0,0,0,0,0,0,,2437:08,55:23,
Jackson Blake,20,CAR,RW,1,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,15:18,15:18,
Anton Blidh,28,NYR,LW,1,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,5:21,5:21,
Robert Bortuzzo,34,2TM,D,27,0,0,0,0,27,0,0,0,0,0,0,0,11,0.0,370:44,13:44,
Robert Bortuzzo,34,NYI,D,23,0,0,0,-2,20,0,0,0,0,0,0,0,10,0.0,329:10,14:19,
Robert Bortuzzo,34,STL,D,4,0,0,0,2,7,0,0,0,0,0,0,0,1,0.0,41:34,10:24,
Mavrik Bourque,22,DAL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10:56,10:56,
Shane Bowers,24,NJD,C,8,0,0,0,1,0,0,0,0,0,0,0,0,7,0.0,75:39,9:27,
Gavin Brindley,19,CBJ,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,12:20,12:20,
Laurent Brossoit,30,WPG,G,23,0,0,0,0,2,0,0,0,0,0,0,0,0,,1351:02,58:44,
Callahan Burke,26,CAR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7:06,7:06,
Cameron Butler,21,CBJ,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0:54,0:54,
Jack Campbell,32,EDM,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,266:47,53:21,
Declan Carlile,23,TBL,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,11:27,11:27,
Magnus Chrona,23,SJS,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,471:15,52:22,
Graeme Clarke,22,NJD,RW,3,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,34:09,11:23,
Dylan Coghlan,25,CAR,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,17:59,17:59,
Eric Comrie,28,BUF,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,519:54,51:59,
Lucas Condotta,26,MTL,F,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22:30,7:30,
Devin Cooley,26,SJS,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,301:29,50:15,
Pheonix Copley,32,LAK,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,436:17,54:32,
Cameron Crotty,24,ARI,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10:03,10:03,
Joey Daccord,27,SEA,G,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,2832:47,56:39,ASnhl-12
Zach Dean,21,STL,C,9,0,0,0,-4,6,0,0,0,0,0,0,0,10,0.0,94:59,10:33,
Ethan Del Mastro,21,CHI,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,37:09,18:35,
Grigori Denisenko,23,VEG,LW,6,0,0,0,-3,2,0,0,0,0,0,0,0,5,0.0,65:05,10:51,
Louis Domingue,31,NYR,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60:00,60:00,
Lukáš Dostál,23,ANA,G,44,0,0,0,0,8,0,0,0,0,0,0,0,0,,2322:49,52:47,
Chris Driedger,29,SEA,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,119:35,59:48,
Pierrick Dube,23,WSH,F,3,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,27:59,9:20,
Samuel Ersson,24,PHI,G,51,0,0,0,0,4,0,0,0,0,0,0,0,0,,2809:28,55:05,"AR-3,Calder-10"
Ivan Fedotov,27,PHI,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,121:09,40:23,
Cale Fleury,25,SEA,D,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13:30,13:30,
Rhett Gardner,27,PHI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7:28,7:28,
Adam Gaudette,27,STL,C,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,19:36,9:48,
Glenn Gawdin,26,ANA,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,7:35,7:35,
John Gibson,30,ANA,G,46,0,0,0,0,12,0,0,0,0,0,0,0,0,,2561:29,55:41,
Gage Goncalves,23,TBL,C,2,0,0,0,0,6,0,0,0,0,0,0,0,0,,19:55,9:58,
Jet Greaves,22,CBJ,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,515:52,57:19,
Max Guenette,22,OTT,D,7,0,0,0,-1,2,0,0,0,0,0,0,0,6,0.0,96:31,13:47,
Robert Hägg,28,ANA,D,5,0,0,0,-4,4,0,0,0,0,0,0,0,6,0.0,63:55,12:47,
Brian Halonen,25,NJD,F,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16:34,8:17,
John Hayden,28,SEA,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13:27,6:44,
Emil Heineman,22,MTL,LW,4,0,0,0,2,0,0,0,0,0,0,0,0,0,,39:49,9:57,
Magnus Hellberg,32,PIT,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,119:53,39:58,
Connor Hellebuyck,30,WPG,G,60,0,0,0,0,2,0,0,0,0,0,0,0,0,,3567:20,59:27,"ASG,ASnhl-1,Hart-6,Jennings-1,Vezina-1"
Akito Hirose,24,VAN,D,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,36:19,12:06,
Michael Hutchinson,33,DET,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,57:48,57:48,
Grant Hutton,28,NYI,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,17:32,8:46,
Bokondji Imama,27,OTT,LW,6,0,0,0,1,7,0,0,0,0,0,0,0,1,0.0,33:31,5:35,
Vincent Iorio,21,WSH,D,6,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,58:57,9:50,
Jonas Johansson,28,TBL,G,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,1477:29,56:50,
Marc Johnstone,27,PIT,F,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7:19,7:19,
Martin Jones,34,TOR,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,1169:40,53:10,
Linus Karlsson,24,VAN,C,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,40:35,10:09,
Philip Kemp,24,EDM,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2:03,2:03,
Jujhar Khaira,29,MIN,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8:05,8:05,
Justin Kirkland,27,ARI,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14:27,7:14,
Patrik Koch,27,ARI,D,1,0,0,0,0,10,0,0,0,0,0,0,0,1,0.0,9:20,9:20,
Pyotr Kochetkov,24,CAR,G,42,0,0,0,0,8,0,0,0,0,0,0,0,0,,2371:29,56:28,"AR-1,Calder-4"
Joona Koppanen,25,PIT,LW,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,31:14,7:49,
Jiri Kulich,19,BUF,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14:53,14:53,
Yan Kuznetsov,21,CGY,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11:58,11:58,
Samuel Laberge,26,NJD,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,6:11,3:06,
Raphael Lavoie,23,EDM,C,7,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,51:00,7:17,
Jake Leschyshyn,24,NYR,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,6:28,6:28,
Devon Levi,22,BUF,G,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,1294:54,56:18,
Kole Lind,25,SEA,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5:59,5:59,
Oskar Lindblom,27,SJS,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11:56,11:56,
Charlie Lindgren,30,WSH,G,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,2852:23,57:03,"ASnhl-11,Hart-12,Vezina-8"
Connor Mackey,27,NYR,D,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0.0,16:27,16:27,
Spencer Martin,28,2TM,G,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,1072:13,56:26,
Spencer Martin,28,CAR,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,365:00,60:50,
Spencer Martin,28,CBJ,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,707:13,54:24,
Nikolas Matinpalo,25,OTT,D,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28:01,7:00,
Max McCormick,31,SEA,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5:38,5:38,
Hugh McGing,25,STL,LW,5,0,0,0,-5,0,0,0,0,0,0,0,0,4,0.0,41:54,8:23,
Cole McWard,22,VAN,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9:05,9:05,
Jayson Megna,33,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11:45,11:45,
Georgii Merkulov,23,BOS,F,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,42:19,10:35,
Elvis Merzļikins,29,CBJ,G,41,0,0,0,0,4,0,0,0,0,0,0,0,0,,2258:40,55:05,
Victor Mete,25,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:52,10:52,
Fraser Minten,19,TOR,C,4,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,45:44,11:26,
Logan Morrison,21,SEA,F,4,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,52:32,13:08,
Scott Morrow,21,CAR,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,6,0.0,36:46,18:23,
Petr Mrázek,31,CHI,G,56,0,0,0,0,14,0,0,0,0,0,0,0,0,,3152:40,56:18,
