Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Daniil Miromanov,26,CGY,D,20,3,4,7,0,8,3,0,0,0,2,2,0,40,7.5,425:08,21:15,
Daniil Miromanov,26,VEG,D,4,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,72:12,18:03,
Mattias Samuelsson,23,BUF,D,41,1,6,7,4,26,1,0,0,1,6,0,0,44,2.3,840:30,20:30,
Luke Schenn,34,NSH,D,63,1,6,7,1,43,1,0,0,0,6,0,0,81,1.2,956:37,15:11,
Michael Sgarbossa,31,WSH,C,25,4,3,7,0,2,4,0,0,1,2,1,0,27,14.8,274:16,10:58,
Nikita Zaitsev,32,CHI,D,38,2,5,7,-5,14,2,0,0,0,3,2,0,31,6.5,605:22,15:56,
Radim Zohorna,27,PIT,F,33,4,3,7,0,18,4,0,0,1,3,0,0,38,10.5,322:14,9:46,
Jonatan Berggren,23,DET,RW,12,2,4,6,-1,2,2,0,0,0,4,0,0,14,14.3,130:20,10:52,
Filip Chytil,24,NYR,C,10,0,6,6,0,4,0,0,0,0,5,1,0,22,0.0,159:18,15:56,
Brandt Clarke,20,LAK,D,16,2,4,6,-6,10,2,0,0,1,1,3,0,31,6.5,218:25,13:39,
Joel Edmundson,30,2TM,D,53,1,5,6,-2,23,1,0,0,0,5,0,0,46,2.2,883:18,16:40,
Joel Edmundson,30,WSH,D,44,1,5,6,-5,19,1,0,0,0,5,0,0,41,2.4,723:08,16:26,
Joel Edmundson,30,TOR,D,9,0,0,0,3,4,0,0,0,0,0,0,0,5,0.0,160:10,17:48,
Travis Hamonic,33,OTT,D,48,2,4,6,-10,40,2,0,0,0,4,0,0,50,4.0,707:18,14:44,
Tyson Jost,25,BUF,C,43,3,3,6,-11,10,3,0,0,0,3,0,0,48,6.3,455:38,10:36,
Gustav Lindström,25,2TM,D,46,3,7,10,12,24,3,0,0,0,7,0,0,29,10.3,708:24,15:24,
Gustav Lindström,25,ANA,D,32,0,6,6,12,18,0,0,0,0,6,0,0,14,0.0,494:28,15:27,
Gustav Lindström,25,MTL,D,14,3,1,4,0,6,3,0,0,0,1,0,0,15,20.0,213:56,15:17,
Ivan Miroshnichenko,19,WSH,LW,21,2,4,6,-4,6,2,0,0,0,3,1,0,30,6.7,254:57,12:08,
